Code,Show Name,Location,Scene
/title/tt8385474/,A Dog's Journey,"Winnipeg, Manitoba, Canada",
/title/tt8385474/,A Dog's Journey,"Chicago Illinois, USA",
/title/tt8385474/,A Dog's Journey,"Selkirk, Manitoba, Canada",
/title/tt0396752/,Nanny McPhee,"Dorset, England, UK",
/title/tt0396752/,Nanny McPhee,"London, England, UK",
/title/tt0396752/,Nanny McPhee,"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",(studio)                        
/title/tt0396752/,Nanny McPhee,"L Stage, Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",
/title/tt0396555/,Meet the Robinsons,"Burbank, California, USA",(studio)                        
/title/tt0986264/,Taare Zameen Par,"Panchgani, Maharashtra, India",(New Era High School)                        
/title/tt0986264/,Taare Zameen Par,"St. Xavier's High School, Mumbai, Maharashtra, India",(Ishaan's first school)                        
/title/tt0986264/,Taare Zameen Par,"Bungalow No. 55, Mysore Colony, Chembur, Maharashtra, India",
/title/tt0986264/,Taare Zameen Par,"Bungalow No. 4, B P Housing Colony, Chembur, Maharashtra, India",
/title/tt0986264/,Taare Zameen Par,"Borla Uttam Society, Mumbai, Maharashtra, India",
/title/tt0986264/,Taare Zameen Par,"New Era High School, Chesson Rd, Panchgani, Maharashtra, India",(Ishaan's boarding school)                        
/title/tt0986264/,Taare Zameen Par,"Il Palazzo Hotel, Shirinbai Davierwalla Marg, Dist. Satara, Panchgani, Maharashtra, India",
/title/tt1985966/,Het regent gehaktballen 2,"New York City, New York, USA",
/title/tt0396991/,LazyTown,"380° Studios - Miðhraun 4, Garðabær, Iceland",(studio)                        
/title/tt0088727/,Anne of Green Gables,"Prince Edward Island, Canada",
/title/tt0088727/,Anne of Green Gables,"Black Creek Pioneer Village, North York, Toronto, Ontario, Canada",
/title/tt0088727/,Anne of Green Gables,"Wentworth Heritage Village, Rockton, Ontario, Canada",
/title/tt0088727/,Anne of Green Gables,Canada,
/title/tt0088727/,Anne of Green Gables,"Doon Pioneer Village, Waterloo, Ontario, Canada",
/title/tt0088727/,Anne of Green Gables,"Ontario, Canada",
/title/tt0088727/,Anne of Green Gables,"Pickering Museum Village, Pickering, Ontario, Canada",
/title/tt0088727/,Anne of Green Gables,"Rustico Summer Haven Resort, Prince Edward Island, Canada",
/title/tt0088727/,Anne of Green Gables,"Spadina House - 285 Spadina Road, Toronto, Ontario, Canada",
/title/tt0110006/,Heavyweights,"Camp Ton-A-Wandah - 300 W Ton-A-Wondah Road, Hendersonville, North Carolina, USA",
/title/tt0110006/,Heavyweights,"Asheville, North Carolina, USA",
/title/tt0110006/,Heavyweights,"Flat Rock, North Carolina, USA",
/title/tt6125438/,In Stranger Company,"Grand Rapids, Michigan, USA",
/title/tt0308644/,Finding Neverland,"Richmond Theatre, The Green, Richmond, Surrey, England, UK",(theatre interiors and exteriors)                        
/title/tt0308644/,Finding Neverland,"London, England, UK",
/title/tt0308644/,Finding Neverland,"Shepperton Studios, Shepperton, Surrey, England, UK",
/title/tt0308644/,Finding Neverland,"Brompton Cemetery, Fulham Road, West Brompton, London, England, UK",(cemetery)                        
/title/tt0415463/,Zoey 101,"Pepperdine University - 24255 Pacific Coast Highway, Malibu, California, USA",
/title/tt0415463/,Zoey 101,"Santa Clarita, California, USA",
/title/tt0067093/,Fiddler on the Roof,"Lekenik, Croatia",(Anatevka)                        
/title/tt0067093/,Fiddler on the Roof,"Zagreb, Croatia",
/title/tt0067093/,Fiddler on the Roof,"Mala, Croatia",
/title/tt0067093/,Fiddler on the Roof,"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",(studio)                        
/title/tt0090390/,ALF,"708 Moreno Avenue, Brentwood, Los Angeles, California, USA",(establishing shots of Tanner house)                        
